PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28869405","A telehealth intervention to promote healthy lifestyles after stroke: The Stroke Coach protocol","Sakakibara BM, Lear SA, Barr SI, Benavente O, Goldsmith CH, Silverberg ND, Yao J, Eng JJ.","Int J Stroke. 2018 Feb;13(2):217-222. doi: 10.1177/1747493017729266. Epub 2017 Sep 4.","Sakakibara BM","Int J Stroke","2018","2017/09/05","PMC5770204","CAMS7005","10.1177/1747493017729266"
"31022749","Artificial Intelligence for Participatory Health: Applications, Impact, and Future Implications","Denecke K, Gabarron E, Grainger R, Konstantinidis ST, Lau A, Rivera-Romero O, Miron-Shatz T, Merolli M.","Yearb Med Inform. 2019 Aug;28(1):165-173. doi: 10.1055/s-0039-1677902. Epub 2019 Apr 25.","Denecke K","Yearb Med Inform","2019","2019/04/26","PMC6697496","","10.1055/s-0039-1677902"
"32885680","Reflections on the Values of Community-Based Participatory Research in Supporting Mobile Health Technology Use","Merid B, Whitfield CO, Skolarus LE.","Circ Cardiovasc Qual Outcomes. 2020 Sep;13(9):e007131. doi: 10.1161/CIRCOUTCOMES.120.007131. Epub 2020 Sep 4.","Merid B","Circ Cardiovasc Qual Outcomes","2020","2020/09/05","PMC7494520","NIHMS1617914","10.1161/CIRCOUTCOMES.120.007131"
"35679567","A Community-Based Participatory Intervention in the United States Using Data to Shift the Community Narrative From Deficits to Strengths","Austin R, Rajamani S, Jones RC, Robinson K, Eder M.","Am J Public Health. 2022 Jun;112(S3):S275-S278. doi: 10.2105/AJPH.2022.306852.","Austin R","Am J Public Health","2022","2022/06/09","PMC9184899","","10.2105/AJPH.2022.306852"
"35861762","Community-Based, Cluster-Randomized Pilot Trial of a Cardiovascular Mobile Health Intervention: Preliminary Findings of the FAITH! Trial","Brewer LC, Jenkins S, Hayes SN, Kumbamu A, Jones C, Burke LE, Cooper LA, Patten CA.","Circulation. 2022 Jul 19;146(3):175-190. doi: 10.1161/CIRCULATIONAHA.122.059046. Epub 2022 Jul 18.","Brewer LC","Circulation","2022","2022/07/21","PMC9287100","","10.1161/CIRCULATIONAHA.122.059046"
"35501912","A community-led mobile health clinic to improve structural and social determinants of health among (im)migrant workers","Guillot-Wright S, Farr NM, Cherryhomes E.","Int J Equity Health. 2022 May 2;21(1):58. doi: 10.1186/s12939-022-01630-7.","Guillot-Wright S","Int J Equity Health","2022","2022/05/03","PMC9059448","","10.1186/s12939-022-01630-7"
"28027678","Participatory design methods in telemedicine research","Clemensen J, Rothmann MJ, Smith AC, Caffery LJ, Danbjorg DB.","J Telemed Telecare. 2017 Oct;23(9):780-785. doi: 10.1177/1357633X16686747. Epub 2016 Dec 27.","Clemensen J","J Telemed Telecare","2017","2016/12/29","","","10.1177/1357633X16686747"
"30614252","Development of the Intercultural Diabetes Online Community Research Council: Codesign and Social Media Processes","Greenwood DA, Litchman ML, Ng AH, Gee PM, Young HM, Ferrer M, Ferrer J, Memering CE, Eichorst B, Scibilia R, Miller LMS.","J Diabetes Sci Technol. 2019 Mar;13(2):176-186. doi: 10.1177/1932296818818455. Epub 2019 Jan 7.","Greenwood DA","J Diabetes Sci Technol","2019","2019/01/08","PMC6399805","","10.1177/1932296818818455"
"31430294","Promoting cardiovascular health and wellness among African-Americans: Community participatory approach to design an innovative mobile-health intervention","Brewer LC, Hayes SN, Caron AR, Derby DA, Breutzman NS, Wicks A, Raman J, Smith CM, Schaepe KS, Sheets RE, Jenkins SM, Lackore KA, Johnson J, Jones C, Radecki Breitkopf C, Cooper LA, Patten CA.","PLoS One. 2019 Aug 20;14(8):e0218724. doi: 10.1371/journal.pone.0218724. eCollection 2019.","Brewer LC","PLoS One","2019","2019/08/21","PMC6701808","","10.1371/journal.pone.0218724"
"34473303","The Impact of COVID-19 on Community-Based Exercise Classes for People With Parkinson Disease","Mañago MM, Swink LA, Hager ER, Gisbert R, Earhart GM, Christiansen CL, Schenkman M.","Phys Ther. 2021 Nov 1;101(11):pzab203. doi: 10.1093/ptj/pzab203.","Mañago MM","Phys Ther","2021","2021/09/02","PMC8522385","","10.1093/ptj/pzab203"
"33586911","Home-Based Intervention to Test and Start (HITS): a community-randomized controlled trial to increase HIV testing uptake among men in rural South Africa","Tanser FC, Kim HY, Mathenjwa T, Shahmanesh M, Seeley J, Matthews P, Wyke S, McGrath N, Adeagbo O, Sartorius B, Yapa HM, Zuma T, Zeitlin A, Blandford A, Dobra A, Bärnighausen T.","J Int AIDS Soc. 2021 Feb;24(2):e25665. doi: 10.1002/jia2.25665.","Tanser FC","J Int AIDS Soc","2021","2021/02/15","PMC7883477","","10.1002/jia2.25665"
"28578606","Community Health Workers and Use of mHealth: Improving Identification of Pregnancy Complications and Access to Care in the Dominican Republic","Bonnell S, Griggs A, Avila G, Mack J, Bush RA, Vignato J, Connelly CD.","Health Promot Pract. 2018 May;19(3):331-340. doi: 10.1177/1524839917708795. Epub 2017 Jun 3.","Bonnell S","Health Promot Pract","2018","2017/06/06","","","10.1177/1524839917708795"
