"title","year","doi"
"Engagement in Healthcare Systems: Adopting Digital Tools for a Sustainable Approach",2019,"10.3390/su11010220"
"Co-designing eHealth and Equity Solutions: Application of the Ophelia (Optimizing Health Literacy and Access) Process.",NA,"10.3389/fpubh.2020.604401"
"User-Centred Design of a Digital Care Plan for Patients and Professionals in Cross-Organisational Teams.",NA,"10.3233/SHTI210309"
"Digital support for living with and beyond gynaecological cancer.",NA,"10.1016/j.radi.2020.03.014"
"Developing a telemedicine value co-creation framework: Patient perceptions of the telemedicine model of care delivery",NA,""
"Sustainable Value Co-Creation and Digital Health: The Case of Trentino eHealth Ecosystem",NA,"10.3390/su12135263"
"Partnered innovation to implement timely and personalized care: A case study",NA,"10.1017/cts.2021.778"
"Listening to the citizens and building health care of the future.",NA,"10.5334/ijic.s2142"
"Personal digital health hubs for multiple conditions",NA,"10.2471/BLT.19.249136"
"Agder Living Lab: co-creation of inclusive health solutions for and with citizens.",NA,"10.5334/ijic.2580"
"5.Q. Workshop: Participatory health research with refugees: Voices, experiences, and methodologies",2021,"10.1093/eurpub/ckab164.394"
"Development and evaluation of a digital, community-based intervention to reduce noncommunicable disease risk in a low-resource urban setting in Malaysia: a research protocol",NA,"10.1186/s43058-020-00080-y"
"A Family-Based Lifestyle Intervention Focusing on Fathers and Their Children Using Co-Creation: Study Protocol of the Run Daddy Run Intervention",2021,"10.3390/ijerph18041830"
"Co-creating and Evaluating a Web-app Mapping Real-World Health Care Services for Students: The servi-Share Protocol",NA,"10.2196/resprot.6801"
"The equity paradox: older patients' participation in patient portal development.",NA,"10.1093/intqhc/mzy245"
"Tackling wicked problems in infection prevention and control: a guideline for co-creation with stakeholders",2016,"10.1186/s13756-016-0119-2"
"Business Modeling to Implement an eHealth Portal for Infection Control: A Reflection on Co-Creation With Stakeholders.",NA,"10.2196/resprot.4519"
"Co-creative development of an eHealth nursing intervention: Self-management support for outpatients with cancer pain.",NA,"10.1016/j.apnr.2017.03.004"
"The Nordic @geing Online project: Co-creating a social application together with older adults",NA,"10.1093/eurpub/ckz185.297"
"Co-Creation With TickiT: Designing and Evaluating a Clinical eHealth Platform for Youth.",NA,"10.2196/resprot.2865"
