"title","year","doi"
"A telehealth intervention to promote healthy lifestyles after stroke: The Stroke Coach protocol",2018,"10.1177/1747493017729266"
"Artificial Intelligence for Participatory Health: Applications, Impact, and Future Implications",2019,"10.1055/s-0039-1677902"
"Reflections on the Values of Community-Based Participatory Research in Supporting Mobile Health Technology Use",2020,"10.1161/CIRCOUTCOMES.120.007131"
"A Community-Based Participatory Intervention in the United States Using Data to Shift the Community Narrative From Deficits to Strengths",2022,"10.2105/AJPH.2022.306852"
"Community-Based, Cluster-Randomized Pilot Trial of a Cardiovascular Mobile Health Intervention: Preliminary Findings of the FAITH! Trial",2022,"10.1161/CIRCULATIONAHA.122.059046"
"A community-led mobile health clinic to improve structural and social determinants of health among (im)migrant workers",2022,"10.1186/s12939-022-01630-7"
"Participatory design methods in telemedicine research",2017,"10.1177/1357633X16686747"
"Development of the Intercultural Diabetes Online Community Research Council: Codesign and Social Media Processes",2019,"10.1177/1932296818818455"
"Promoting cardiovascular health and wellness among African-Americans: Community participatory approach to design an innovative mobile-health intervention",2019,"10.1371/journal.pone.0218724"
"The Impact of COVID-19 on Community-Based Exercise Classes for People With Parkinson Disease",2021,"10.1093/ptj/pzab203"
"Home-Based Intervention to Test and Start (HITS): a community-randomized controlled trial to increase HIV testing uptake among men in rural South Africa",2021,"10.1002/jia2.25665"
"Community Health Workers and Use of mHealth: Improving Identification of Pregnancy Complications and Access to Care in the Dominican Republic",2018,"10.1177/1524839917708795"
"Electronic screening for lifestyle issues and mental health in youth: a community-based participatory research approach",2016,"10.1186/s12911-016-0379-z"
"A Community-Engaged Assessment of Barriers and Facilitators to Rapid Stroke Treatment",2016,"10.1002/nur.21749"
"Implementing solutions to improve and expand telehealth adoption: participatory action research in four community healthcare settings",2015,"10.1186/s12913-015-1195-3"
"Lessons Learned from a Community-Academic Project Using Telemedicine for Eye Screening Among Urban Latinos",2019,"10.1353/cpr.2019.0018"
"The Design and Rationale of a Pilot Study: A COmmunity and Tech-Based ApproaCh for Hypertension Self-MANagement (COACHMAN)",2020,""
"Community groups or mobile phone messaging to prevent and control type 2 diabetes and intermediate hyperglycaemia in Bangladesh (DMagic): a cluster-randomised controlled trial",2019,"10.1016/S2213-8587(19)30001-4"
"A randomized community trial to advance digital epidemiological and mHealth citizen scientist compliance: A smart platform study",2021,"10.1371/journal.pone.0259486"
"The Communication, Awareness, Relationships and Empowerment (C.A.R.E.) Model: An Effective Tool for Engaging Urban Communities in Community-Based Participatory Research",2017,"10.3390/ijerph14111422"
"Reach Out Churches: A Community-Based Participatory Research Pilot Trial to Assess the Feasibility of a Mobile Health Technology Intervention to Reduce Blood Pressure Among African Americans",2018,"10.1177/1524839917710893"
"Design and implementation of an m-health data model for improving health information access for reproductive and child health services in low resource settings using a participatory action research approach",2018,"10.1186/s12911-018-0622-x"
"International mHealth Research: Old Tools and New Challenges",2020,"10.1177/1073110520917045"
"User-Innovated eHealth Solutions for Service Delivery to Older Persons With Hearing Impairment",2018,"10.1044/2018_AJA-IMIA3-18-0009"
"Using Theories of Change to inform implementation of health systems research and innovation: experiences of Future Health Systems consortium partners in Bangladesh, India and Uganda",2017,"10.1186/s12961-017-0272-y"
"mHealth Research Applied to Regulated and Unregulated Behavioral Health Sciences",2020,"10.1177/1073110520917029"
"Building a primary care/research partnership: lessons learned from a telehealth intervention for diabetes and depression",2015,"10.1093/fampra/cmu084"
"FAMILY MEDICINE PROGRAMS MEETING THEIR COMMUNITY NEEDS: LESSONS LEARNED FROM COMMUNITY-BASED PROGRAM COVID-19 RESPONSE",2021,"10.1370/afm.2745"
"Comparative Effectiveness of Clinical-Community Childhood Obesity Interventions: A Randomized Clinical Trial",2017,"10.1001/jamapediatrics.2017.1325"
"Developing a mHealth intervention to promote uptake of HIV testing among African communities in the UK: a qualitative study",2016,"10.1186/s12889-016-3278-4"
"The Perils of Parity: Should Citizen Science and Traditional Research Follow the Same Ethical and Privacy Principles?",2020,"10.1177/1073110520917031"
"A qualitative analysis to optimize a telemonitoring intervention for heart failure patients from disparity communities",2016,"10.1186/s12911-016-0300-9"
"Participatory digital health research: A new paradigm for mHealth tool development",2020,"10.1016/j.genhosppsych.2020.07.005"
"Using codesign to develop a culturally tailored, behavior change mHealth intervention for indigenous and other priority communities: A case study in New Zealand",2019,"10.1093/tbm/iby093"
"Participatory research to design a novel telehealth system to support the night-time needs of people with dementia: NOCTURNAL",2013,"10.3390/ijerph10126764"
"Reducing the Risk of Postpartum Depression in a Low-Income Community Through a Community Health Worker Intervention",2018,"10.1007/s10995-017-2419-4"
"Designing an eHealth Breastfeeding Resource With Indigenous Families Using a Participatory Design",2018,"10.1177/1043659617731818"
"Realizing the Potential of Patient Engagement: Designing IT to Support Health in Everyday Life",2016,""
"Time to listen: a mixed-method study examining community-based views of mobile technology for interventions to promote physical activity",2020,"10.1136/bmjhci-2020-100140"
"eHealth Literacy and Intervention Tailoring Impacts the Acceptability of a HIV/STI Testing Intervention and Sexual Decision Making Among Young Gay and Bisexual Men",2017,"10.1521/aeap.2017.29.1.14"
"There Oughta Be a Law: When Does(n't) the U.S. Common Rule Apply?",2020,"10.1177/1073110520917030"
"Acceptability and preliminary efficacy of a tailored online HIV/STI testing intervention for young men who have sex with men: the Get Connected! program",2015,"10.1007/s10461-015-1009-y"
"Use of Mobile Health Applications in Low-Income Populations: A Prospective Study of Facilitators and Barriers",2020,"10.1161/CIRCOUTCOMES.120.007031"
"To What Extent Does the EU General Data Protection Regulation (GDPR) Apply to Citizen Scientist-Led Health Research with Mobile Devices?",2020,"10.1177/1073110520917046"
"Higher eHealth Literacy is Associated With HIV Risk Behaviors among HIV-Infected Women Who Use the Internet",2016,"10.1016/j.jana.2015.09.001"
