"title","year","doi"
"“A coalition of the willing”: experiences of co-designing an online pain management programme (iSelf-help) for people with persistent pain",2021,"10.1186/s40900-021-00275-0"
"5.Q. Workshop: Participatory health research with refugees: Voices, experiences, and methodologies",2021,"10.1093/eurpub/ckab164.394"
"6.G. Workshop: Developing a consent model for health information – challenges in a rapidly changing digital world",NA,"10.1093/eurpub/ckab164.428"
"A Collaboration Between Game Developers and Rehabilitation Researchers to Develop a Web-Based App for Persons With Physical Disabilities: Case Study",NA,"10.2196/13511"
"A Community-Based Participatory Intervention in the United States Using Data to Shift the Community Narrative From Deficits to Strengths",2022,"10.2105/AJPH.2022.306852"
"A Community-Engaged Approach to Developing an mHealth HIV/STI and Drug Abuse Preventive Intervention for Primary Care: A Qualitative Study",NA,"10.2196/mhealth.4620"
"A Community-Engaged Assessment of Barriers and Facilitators to Rapid Stroke Treatment",2016,"10.1002/nur.21749"
"A community-led mobile health clinic to improve structural and social determinants of health among (im)migrant workers",2022,"10.1186/s12939-022-01630-7"
"A Family-Based Lifestyle Intervention Focusing on Fathers and Their Children Using Co-Creation: Study Protocol of the Run Daddy Run Intervention",2021,"10.3390/ijerph18041830"
"A Framework for the Study of Complex mHealth Interventions in Diverse Cultural Settings",NA,"10.2196/mhealth.7044"
"A Mobile Phone Intervention to Improve Obesity-Related Health Behaviors of Adolescents Across Europe: Iterative Co-Design and Feasibility Study.",NA,"10.2196/14118"
"A multicomponent eHealth intervention for family carers for people affected by psychosis: A coproduced design and build study",NA,"10.2196/14374"
"A multilevel approach to knowledge sharing: Improving health services for families and children",NA,"10.1111/napa.12079"
"A qualitative analysis to optimize a telemonitoring intervention for heart failure patients from disparity communities",2016,"10.1186/s12911-016-0300-9"
"A randomized community trial to advance digital epidemiological and mHealth citizen scientist compliance: A smart platform study",2021,"10.1371/journal.pone.0259486"
"A telehealth intervention to promote healthy lifestyles after stroke: The Stroke Coach protocol",2018,"10.1177/1747493017729266"
"A Web-Based Intervention to Prevent Multiple Chronic Disease Risk Factors Among Adolescents: Co-Design and User Testing of the Health4Life School-Based Program",NA,"10.2196/19485"
"Acceptability and preliminary efficacy of a tailored online HIV/STI testing intervention for young men who have sex with men: the Get Connected! program",2015,"10.1007/s10461-015-1009-y"
"Active Patient Participation in the Development of an Online Intervention",2014,"10.2196/resprot.3695"
"Agder Living Lab: co-creation of inclusive health solutions for and with citizens.",NA,"10.5334/ijic.2580"
"An iterative process for developing digital gamified sexual health education for adolescent students in low-tech settings",NA,"10.1108/ILS-07-2019-0066"
"Anything but engaged: user involvement in the context of a national electronic health record implementation.",NA,""
"Artificial Intelligence for Participatory Health: Applications, Impact, and Future Implications",2019,"10.1055/s-0039-1677902"
"Assessing the quality of mobile applications in chronic disease management: a scoping review",2021,"10.1038/s41746-021-00410-x"
"Avoiding Failure for Australia's Digital Health Record: The Findings from a Rural E-Health Participatory Research Project.",NA,""
"Beyond pilotitis: taking digital health interventions to the national level in China and Uganda.",NA,"10.1186/s12992-017-0275-z"
"Building a primary care/research partnership: lessons learned from a telehealth intervention for diabetes and depression",2015,"10.1093/fampra/cmu084"
"Building infrastructure for digital health using Open innovation 2.0 in co design of a meta data registry framework to support integrated care.",NA,"10.5334/ijic.s3018"
"Business Modeling to Implement an eHealth Portal for Infection Control: A Reflection on Co-Creation With Stakeholders.",NA,"10.2196/resprot.4519"
"Co-creating a large-scale adolescent health survey integrated with access to digital health interventions",2020,"10.1177/2055207620947962"
"Co-creating and Evaluating a Web-app Mapping Real-World Health Care Services for Students: The servi-Share Protocol",NA,"10.2196/resprot.6801"
"Co-Creation With TickiT: Designing and Evaluating a Clinical eHealth Platform for Youth.",NA,"10.2196/resprot.2865"
"Co-creative development of an eHealth nursing intervention: Self-management support for outpatients with cancer pain.",NA,"10.1016/j.apnr.2017.03.004"
"Co-design in mHealth Systems Development: Insights From a Systematic Literature Review",NA,"10.17705/1thci.00147"
"Co-design of a digital dietary intervention for adults at risk of type 2 diabetes.",NA,"10.1186/s12889-021-12102-y"
"Co-design of eHealth interventions with children and young people",NA,"10.3389/fpsyt.2018.00481"
"Co-design of mHealth Delivered Interventions: A Systematic Review to Assess Key Methods and Processes",NA,"10.1007/s13668-016-0165-7"
"Co-designing eHealth and Equity Solutions: Application of the Ophelia (Optimizing Health Literacy and Access) Process.",NA,"10.3389/fpubh.2020.604401"
"Co-designing mHealth technologies with youth: REACH Initiative in Turkey and Lebanon",2020,"10.1093/eurpub/ckaa165.1035"
"Cocreation of a digital patient health hub to enhance education and person-centred integrated care post hip fracture: a mixed-methods study protocol",NA,"10.1136/bmjopen-2019-033128"
"Community-Based, Cluster-Randomized Pilot Trial of a Cardiovascular Mobile Health Intervention: Preliminary Findings of the FAITH! Trial",2022,"10.1161/CIRCULATIONAHA.122.059046"
"Community groups or mobile phone messaging to prevent and control type 2 diabetes and intermediate hyperglycaemia in Bangladesh (DMagic): a cluster-randomised controlled trial",2019,"10.1016/S2213-8587(19)30001-4"
"Community health alliances as social enterprises that digitally engage citizens and integrate services: A case study in Southwestern Sydney (protocol)",NA,"10.1177/2055207620930118"
"Community Health Workers and Use of mHealth: Improving Identification of Pregnancy Complications and Access to Care in the Dominican Republic",2018,"10.1177/1524839917708795"
"Comparative Effectiveness of Clinical-Community Childhood Obesity Interventions: A Randomized Clinical Trial",2017,"10.1001/jamapediatrics.2017.1325"
"Conceptual Design and Iterative Development of a mHealth App by Clinicians, Patients and heir Families...Health Informatics Conference, Sydney Australia, 2018",NA,"10.3233/978-1-61499-890-7-170"
"Consumer Co-creation of Value in mHealth (Mobile Health) Service",NA,"10.1177/2394964317697611"
"Creating Gameful Design in mHealth: A Participatory Co-Design Approach",NA,"10.2196/11579"
"Design and implementation of an m-health data model for improving health information access for reproductive and child health services in low resource settings using a  participatory action research approach.",NA,"10.1186/s12911-018-0622-x"
"Design and implementation of an m-health data model for improving health information access for reproductive and child health services in low resource settings using a participatory action research approach",2018,"10.1186/s12911-018-0622-x"
"Design of a randomized trial testing a multi-level weight-control intervention to reduce obesity and related health conditions in low-income workers.",NA,"10.1016/j.cct.2019.01.011"
"Design Thinking for mHealth Application Co-Design to Support Heart Failure Self-Management.",NA,""
"Designing a Mobile App to Enhance Parenting Skills of Latinx Parents: A Community-Based Participatory Approach",NA,"10.2196/12618"
"Designing an eHealth Breastfeeding Resource With Indigenous Families Using a Participatory Design",2018,"10.1177/1043659617731818"
"Designing an eHealth Breastfeeding Resource With Indigenous Families Using a Participatory Design.",NA,"10.1177/1043659617731818"
"Designing an eHealth Well-Being Program: A Participatory Design Approach",NA,"10.3390/ijerph18147250"
"Developing a mHealth intervention to promote uptake of HIV testing among African communities in the UK: a qualitative study",2016,"10.1186/s12889-016-3278-4"
"Developing a mHealth intervention to promote uptake of HIV testing among African communities in the UK: a qualitative study.",NA,"10.1186/s12889-016-3278-4"
"Developing a rare disease chronic care model: Management of systemic sclerosis (MANOSS) study protocol.",NA,"10.1111/jan.14185"
"Developing a telemedicine value co-creation framework: Patient perceptions of the telemedicine model of care delivery",NA,""
"Development and evaluation of a digital, community-based intervention to reduce noncommunicable disease risk in a low-resource urban setting in Malaysia: a research protocol",NA,"10.1186/s43058-020-00080-y"
"Development and Modification of a Mobile Health Program to Promote Postpartum Weight Loss in Women at Elevated Risk for Cardiometabolic Disease: Single-Arm Pilot Study",NA,"10.2196/16151"
"Development of a ePRO-Based Palliative Care Intervention for Cancer Patients: A Participatory Design Approach.",NA,"10.3233/SHTI200300"
"Development of a Mobile Health Application for HIV Prevention Among At-Risk Populations in Urban Settings in East Africa: A Participatory Design Approach",NA,"10.2196/23204"
"Development of an Intervention Targeting Multiple Health Behaviors Among High School Students: Participatory Design Study Using Heuristic Evaluation and Usability  Testing.",NA,"10.2196/17999"
"Development of the Intercultural Diabetes Online Community Research Council: Codesign and Social Media Processes",2019,"10.1177/1932296818818455"
"Development of the Niggle App for Supporting Young People on Their Dynamic Journey to Well-being: Co-design and Qualitative Research Study.",NA,"10.2196/21085"
"Digital health now and in the future: Findings from a participatory design stakeholder workshop.",NA,"10.1177/2055207617740018"
"Digital support for living with and beyond gynaecological cancer.",NA,"10.1016/j.radi.2020.03.014"
"Do participation and personalization matter? A model-driven evaluation of an Internet-based patient education intervention for fibromyalgia patients",NA,"10.1016/j.pec.2013.04.007"
"eHealth Literacy and Intervention Tailoring Impacts the Acceptability of a HIV/STI Testing Intervention and Sexual Decision Making Among Young Gay and Bisexual Men",2017,"10.1521/aeap.2017.29.1.14"
"eHealth, participatory medicine, and ethical care: A focus group study of patients’ and health care providers’ use of health-related Internet information",NA,"10.2196/jmir.3792"
"Electronic screening for lifestyle issues and mental health in youth: a community-based participatory research approach",2016,"10.1186/s12911-016-0379-z"
"Empathy and journey mapping the healthcare experience: A community-based participatory approach to exploring women’s access to primary health services within melbourne’s arabic-speaking refugee communities",NA,"10.1080/13557858.2020.1734780"
"Engagement in Healthcare Systems: Adopting Digital Tools for a Sustainable Approach",2019,"10.3390/su11010220"
"Engaging Patients in Co-Design of Mobile Health Tools for Surgical Site Infection Surveillance: Implications for Research and Implementation.",NA,"10.1089/sur.2019.148"
"Engaging the public on health information – the importance of being inclusive, authentic and collaborative",NA,"10.1093/eurpub/ckab164.430"
"Enhancing the Effectiveness of Consumer-Focused Health Information Technology Systems Through eHealth Literacy: A Framework for Understanding Users' Needs",NA,"10.2196/humanfactors.3696"
"Evaluating the Development Processes of Consumer mHealth Interventions for Chronic Condition Self-management: A Scoping Review.",NA,"10.1097/CIN.0000000000000528"
"FAMILY MEDICINE PROGRAMS MEETING THEIR COMMUNITY NEEDS: LESSONS LEARNED FROM COMMUNITY-BASED PROGRAM COVID-19 RESPONSE",2021,"10.1370/afm.2745"
"Feasibility and Acceptability of a Mobile Technology Intervention to Support Postabortion Care (The FACTS Study Phase II) After Surgical Abortion: User-Centered Design",NA,"10.2196/14558"
"Feasibility and preliminary efficacy of the âHEYMANâ healthy lifestyle program for young men: a pilot randomised controlled trial",NA,"10.1186/s12937-017-0227-8"
"From Return of Information to Return of Value: Ethical Considerations when Sharing Individual-Level Research Data.",NA,"10.3233/JAD-190589"
"Generative Participatory Design Methodology to Develop Electronic Health Interventions: Systematic Literature Review.",NA,"10.2196/13780"
"Guidelines and Recommendations for Developing Interactive eHealth Apps for Complex Messaging in Health Promotion",NA,"10.2196/mhealth.4423"
"Health care professionals' experiences of how an eHealth application can function as a value-creating resource - a qualitative interview study.",NA,"10.1186/s12913-021-07232-3"
"Health care reform in Belgium: contracting for co-creating integrated care as change management strategy.",NA,"10.5334/ijic.s2058"
"Higher eHealth Literacy is Associated With HIV Risk Behaviors among HIV-Infected Women Who Use the Internet",2016,"10.1016/j.jana.2015.09.001"
"Home-Based Intervention to Test and Start (HITS): a community-randomized controlled trial to increase HIV testing uptake among men in rural South Africa",2021,"10.1002/jia2.25665"
"Implementation factors affecting the large-scale deployment of digital health and well-being technologies: A qualitative study of the initial phases of the  'Living-It-Up' programme.",NA,"10.1177/1460458215594651"
"Implementing solutions to improve and expand telehealth adoption: participatory action research in four community healthcare settings",2015,"10.1186/s12913-015-1195-3"
"Improving the theoretical understanding toward patient-driven health care innovation through online value cocreation: Systematic review",NA,""
"Integration of mHealth Information and Communication Technologies Into the Clinical Settings of Hospitals in Sub-Saharan Africa: Qualitative Study.",NA,"10.2196/26358"
"International mHealth Research: Old Tools and New Challenges",2020,"10.1177/1073110520917045"
